ticker,paired_with,event_type_canonical,direction,confidence,event_date,zscore_before,zscore_after,zscore_change,expected_direction,direction_confirmed
2382.TW,4958.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,0.7446286500621968,0.7264589227042753,-0.01816972735792155,1,False
2356.TW,2492.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,-2.728499596310476,-0.1520683359799913,2.5764312603304846,1,True
2382.TW,4958.TW,ai_demand,1,0.9,2026-05-29 14:15:00,1.1261174417979385,2.8747915917261437,1.7486741499282052,1,True
2368.TW,2360.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,-0.3086010004064724,-1.1043008181556064,-0.795699817749134,-1,True
2368.TW,3036.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3462751311286729,0.6129318380512807,0.2666567069226078,1,True
2368.TW,3105.TWO,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3819847328455248,0.4418534542681929,0.05986872142266808,1,True
2313.TW,2337.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.801159695610107,-0.0605528314354987,-0.8617125270456057,1,False
2356.TW,2492.TW,strategic_partnership,1,0.85,2026-05-14 16:35:00,-2.861666743940692,-1.4502439525588384,1.4114227913818538,1,True
2382.TW,4958.TW,capacity_expansion,1,0.9,2026-03-18 11:15:00,-0.879569240144256,-0.5531057273327332,0.32646351281152275,1,True
2337.TW,2313.TW,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,-0.7548855957148666,-1.3521065966960206,-0.597221000981154,-1,True
2337.TW,3105.TWO,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,1.6070663012438229,1.763146042660352,0.15607974141652914,1,True
2356.TW,2492.TW,strategic_partnership,1,0.85,2025-10-19 14:20:00,-1.1719336416373194,-1.4375954139227325,-0.2656617722854131,1,False
2382.TW,4958.TW,order_dynamics,1,0.8,2026-05-08 09:25:00,0.5779745996768334,-0.2460143130264267,-0.8239889127032601,1,False
6515.TW,3036.TW,financial_performance,1,0.95,2026-04-17 10:30:00,-0.6492535895339108,0.0515967976033863,0.7008503871372971,-1,False
2313.TW,2337.TW,geopolitical_and_regulatory,-1,0.85,2025-12-12 12:14:00,-0.6913284779984281,0.3447518897344179,1.036080367732846,-1,False
2313.TW,2337.TW,supply_chain,1,0.85,2025-10-31 08:10:00,-1.1001186677419343,-1.2451004533594945,-0.14498178561756014,1,False
2382.TW,4958.TW,analyst_and_market_sentiment,1,0.85,2025-10-14 09:35:00,1.569830457654951,1.3452454471586237,-0.2245850104963274,1,False
2337.TW,2313.TW,financial_performance,1,0.95,2026-04-28 08:00:00,-1.658103075494901,0.0755869765191548,1.733690052014056,-1,False
2337.TW,3105.TWO,financial_performance,1,0.95,2026-04-28 08:00:00,0.7600872308867457,0.0646070808889189,-0.6954801499978268,1,False
2337.TW,2313.TW,pricing_and_margins,1,0.92,2026-04-28 08:00:00,-1.658103075494901,0.0755869765191548,1.733690052014056,-1,False
2337.TW,3105.TWO,pricing_and_margins,1,0.92,2026-04-28 08:00:00,0.7600872308867457,0.0646070808889189,-0.6954801499978268,1,False
2337.TW,2313.TW,product_launch_and_development,1,0.88,2026-04-28 08:00:00,-1.658103075494901,0.0755869765191548,1.733690052014056,-1,False
2337.TW,3105.TWO,product_launch_and_development,1,0.88,2026-04-28 08:00:00,0.7600872308867457,0.0646070808889189,-0.6954801499978268,1,False
6515.TW,3036.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.3589018378946068,-0.9336410940838188,-0.574739256189212,-1,True
2360.TW,2368.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,0.5531988469675053,0.80720780039993,0.2540089534324247,1,True
2360.TW,5274.TWO,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.5427950218258538,-0.0885844254385617,0.4542105963872921,1,True
3105.TWO,2337.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-3.387357047579819,-2.1316893109139112,1.2556677366659077,-1,False
3105.TWO,2368.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-2.2284005739726407,-1.9954156218952237,0.23298495207741698,-1,False
3105.TWO,3036.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-1.6846499739143803,-1.68104739113227,0.0036025827821102308,-1,False
4958.TW,2382.TW,analyst_and_market_sentiment,1,0.85,2026-06-05 17:10:00,1.733676801308415,1.4820516385818927,-0.25162516272652224,-1,True
2382.TW,4958.TW,ai_demand,1,0.95,2025-10-08 18:33:00,1.3745615854946514,1.569830457654951,0.19526887216029976,1,True
