ticker,paired_with,event_type_canonical,direction,confidence,event_date,zscore_before,zscore_after,zscore_change,expected_direction,direction_confirmed
2382.TW,4958.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,0.7446286500621968,0.5148962023724316,-0.2297324476897652,1,False
2356.TW,2492.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,-2.728499596310476,0.2535834531830918,2.9820830494935677,1,True
2382.TW,4958.TW,ai_demand,1,0.9,2026-05-29 14:15:00,1.1261174417979385,1.733676801308415,0.6075593595104765,1,True
2368.TW,2360.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,-0.3086010004064724,-0.8484349912774689,-0.5398339908709965,-1,True
2368.TW,3036.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3462751311286729,0.6457723978758623,0.29949726674718935,1,True
2368.TW,3105.TWO,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3819847328455248,0.2370480156483051,-0.1449367171972197,1,False
2313.TW,2337.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.801159695610107,-1.615374997463925,-2.4165346930740323,1,False
2356.TW,2492.TW,strategic_partnership,1,0.85,2026-05-14 16:35:00,-2.861666743940692,-2.087483400879284,0.774183343061408,1,True
2382.TW,4958.TW,capacity_expansion,1,0.9,2026-03-18 11:15:00,-0.879569240144256,-0.5865146028044075,0.2930546373398485,1,True
2337.TW,2313.TW,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,-0.7548855957148666,1.7499686488825168,2.504854244597383,-1,False
2337.TW,3105.TWO,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,1.6070663012438229,0.8055855812116504,-0.8014807200321725,1,False
2356.TW,2492.TW,strategic_partnership,1,0.85,2025-10-19 14:20:00,-1.1719336416373194,-3.2920809209323236,-2.1201472792950042,1,False
2382.TW,4958.TW,order_dynamics,1,0.8,2026-05-08 09:25:00,0.5779745996768334,0.1242345561754894,-0.453740043501344,1,False
6515.TW,3036.TW,financial_performance,1,0.95,2026-04-17 10:30:00,-0.6492535895339108,0.4663153966133992,1.11556898614731,-1,False
2313.TW,2337.TW,geopolitical_and_regulatory,-1,0.85,2025-12-12 12:14:00,-0.6913284779984281,-0.1267222437045347,0.5646062342938934,-1,False
2313.TW,2337.TW,supply_chain,1,0.85,2025-10-31 08:10:00,-1.1001186677419343,-2.02001951742751,-0.9199008496855758,1,False
2382.TW,4958.TW,analyst_and_market_sentiment,1,0.85,2025-10-14 09:35:00,1.569830457654951,0.5897018422725977,-0.9801286153823534,1,False
2337.TW,2313.TW,financial_performance,1,0.95,2026-04-28 08:00:00,-1.658103075494901,-1.605243030978797,0.05286004451610404,-1,False
2337.TW,3105.TWO,financial_performance,1,0.95,2026-04-28 08:00:00,0.7600872308867457,1.1137760864084831,0.35368885552173746,1,True
2337.TW,2313.TW,pricing_and_margins,1,0.92,2026-04-28 08:00:00,-1.658103075494901,-1.605243030978797,0.05286004451610404,-1,False
2337.TW,3105.TWO,pricing_and_margins,1,0.92,2026-04-28 08:00:00,0.7600872308867457,1.1137760864084831,0.35368885552173746,1,True
2337.TW,2313.TW,product_launch_and_development,1,0.88,2026-04-28 08:00:00,-1.658103075494901,-1.605243030978797,0.05286004451610404,-1,False
2337.TW,3105.TWO,product_launch_and_development,1,0.88,2026-04-28 08:00:00,0.7600872308867457,1.1137760864084831,0.35368885552173746,1,True
6515.TW,3036.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.3589018378946068,0.1553003027451664,0.5142021406397732,-1,False
2360.TW,2368.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,0.5531988469675053,1.446625193949506,0.8934263469820007,1,True
2360.TW,5274.TWO,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.5427950218258538,0.4784979931677993,1.021293014993653,1,True
3105.TWO,2337.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-3.387357047579819,-1.101759287742663,2.285597759837156,-1,False
3105.TWO,2368.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-2.2284005739726407,0.7247707164878707,2.9531712904605114,-1,False
3105.TWO,3036.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-1.6846499739143803,-0.8326262749972728,0.8520236989171075,-1,False
4958.TW,2382.TW,analyst_and_market_sentiment,1,0.85,2026-06-05 17:10:00,1.733676801308415,0.3689892679355223,-1.3646875333728927,-1,True
2382.TW,4958.TW,ai_demand,1,0.95,2025-10-08 18:33:00,1.3745615854946514,1.3386380530077606,-0.03592353248689073,1,False
2382.TW,4958.TW,revenue_growth,1,0.95,2025-10-08 18:33:00,1.3745615854946514,1.3386380530077606,-0.03592353248689073,1,False
2382.TW,4958.TW,strategic_partnership,1,0.85,2026-02-04 19:50:00,-2.649662050816486,-0.1260255567097336,2.523636494106752,1,True
2382.TW,4958.TW,market_dynamics,1,0.8,2026-02-04 19:50:00,-2.649662050816486,-0.1260255567097336,2.523636494106752,1,True
2382.TW,4958.TW,supply_chain,-1,0.75,2026-02-04 19:50:00,-2.649662050816486,-0.1260255567097336,2.523636494106752,-1,False
2337.TW,2313.TW,revenue_growth,1,0.95,2026-04-07 18:45:00,1.1774413702052715,-0.9219778515494508,-2.0994192217547223,-1,True
