ticker,paired_with,event_type_canonical,direction,confidence,event_date,zscore_before,zscore_after,zscore_change,expected_direction,direction_confirmed
2382.TW,4958.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,0.7446286500621968,0.7056234811051163,-0.039005168957080505,1,False
2356.TW,2492.TW,strategic_partnership,1,0.75,2025-10-28 09:40:00,-2.728499596310476,-1.0578352350727145,1.6706643612377614,1,True
2382.TW,4958.TW,ai_demand,1,0.9,2026-05-29 14:15:00,1.1261174417979385,1.4656048977467404,0.3394874559488019,1,True
2368.TW,2360.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,-0.3086010004064724,-0.4962164179735047,-0.18761541756703226,-1,True
2368.TW,3036.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3462751311286729,0.3696877865066662,0.023412655377993308,1,True
2368.TW,3105.TWO,market_dynamics,1,0.85,2026-06-12 14:00:00,0.3819847328455248,0.2793408683027141,-0.10264386454281071,1,False
2313.TW,2337.TW,market_dynamics,1,0.85,2026-06-12 14:00:00,0.801159695610107,-0.0994382025664711,-0.9005978981765781,1,False
2356.TW,2492.TW,strategic_partnership,1,0.85,2026-05-14 16:35:00,-2.861666743940692,-1.329920891193176,1.5317458527475163,1,True
2382.TW,4958.TW,capacity_expansion,1,0.9,2026-03-18 11:15:00,-0.879569240144256,-1.1970951972596295,-0.31752595711537357,1,False
2337.TW,2313.TW,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,-0.7548855957148666,-1.907606422942198,-1.1527208272273315,-1,True
2337.TW,3105.TWO,analyst_and_market_sentiment,1,0.95,2026-01-16 08:30:00,1.6070663012438229,2.5429937878494133,0.9359274866055904,1,True
2356.TW,2492.TW,strategic_partnership,1,0.85,2025-10-19 14:20:00,-1.1719336416373194,-2.3949308567567167,-1.2229972151193973,1,False
2382.TW,4958.TW,order_dynamics,1,0.8,2026-05-08 09:25:00,0.5779745996768334,0.4415163194675077,-0.1364582802093257,1,False
6515.TW,3036.TW,financial_performance,1,0.95,2026-04-17 10:30:00,-0.6492535895339108,-0.9135346149108798,-0.26428102537696907,-1,True
2313.TW,2337.TW,geopolitical_and_regulatory,-1,0.85,2025-12-12 12:14:00,-0.6913284779984281,-0.1256469958180434,0.5656814821803847,-1,False
2313.TW,2337.TW,supply_chain,1,0.85,2025-10-31 08:10:00,-1.1001186677419343,-0.9939416242915587,0.1061770434503756,1,True
2382.TW,4958.TW,analyst_and_market_sentiment,1,0.85,2025-10-14 09:35:00,1.569830457654951,1.5116105453211857,-0.058219912333765445,1,False
2337.TW,2313.TW,financial_performance,1,0.95,2026-04-28 08:00:00,-1.658103075494901,-2.302266136022527,-0.6441630605276258,-1,True
2337.TW,3105.TWO,financial_performance,1,0.95,2026-04-28 08:00:00,0.7600872308867457,0.9745461774613456,0.21445894657459996,1,True
2337.TW,2313.TW,pricing_and_margins,1,0.92,2026-04-28 08:00:00,-1.658103075494901,-2.302266136022527,-0.6441630605276258,-1,True
2337.TW,3105.TWO,pricing_and_margins,1,0.92,2026-04-28 08:00:00,0.7600872308867457,0.9745461774613456,0.21445894657459996,1,True
2337.TW,2313.TW,product_launch_and_development,1,0.88,2026-04-28 08:00:00,-1.658103075494901,-2.302266136022527,-0.6441630605276258,-1,True
2337.TW,3105.TWO,product_launch_and_development,1,0.88,2026-04-28 08:00:00,0.7600872308867457,0.9745461774613456,0.21445894657459996,1,True
6515.TW,3036.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.3589018378946068,-1.0553392987034609,-0.6964374608088542,-1,True
2360.TW,2368.TW,capacity_expansion,1,0.85,2026-03-19 16:54:00,0.5531988469675053,0.6092381080682878,0.0560392611007825,1,True
2360.TW,5274.TWO,capacity_expansion,1,0.85,2026-03-19 16:54:00,-0.5427950218258538,-0.1920727510917084,0.3507222707341454,1,True
3105.TWO,2337.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-3.387357047579819,-3.8814777876090543,-0.49412074002923534,-1,True
3105.TWO,2368.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-2.2284005739726407,-2.9703405771977915,-0.7419400032251509,-1,True
3105.TWO,3036.TW,pricing_and_margins,1,0.85,2026-04-17 17:50:00,-1.6846499739143803,-2.5540582475403975,-0.8694082736260171,-1,True
4958.TW,2382.TW,analyst_and_market_sentiment,1,0.85,2026-06-05 17:10:00,1.733676801308415,1.081072273888025,-0.65260452742039,-1,True
2382.TW,4958.TW,ai_demand,1,0.95,2025-10-08 18:33:00,1.3745615854946514,1.1620178474718947,-0.2125437380227566,1,False
2382.TW,4958.TW,revenue_growth,1,0.95,2025-10-08 18:33:00,1.3745615854946514,1.1620178474718947,-0.2125437380227566,1,False
2382.TW,4958.TW,strategic_partnership,1,0.85,2026-02-04 19:50:00,-2.649662050816486,-1.9181749738895664,0.7314870769269195,1,True
2382.TW,4958.TW,market_dynamics,1,0.8,2026-02-04 19:50:00,-2.649662050816486,-1.9181749738895664,0.7314870769269195,1,True
2382.TW,4958.TW,supply_chain,-1,0.75,2026-02-04 19:50:00,-2.649662050816486,-1.9181749738895664,0.7314870769269195,-1,False
2337.TW,2313.TW,revenue_growth,1,0.95,2026-04-07 18:45:00,1.1774413702052715,0.0964463835022241,-1.0809949867030475,-1,True
