tickers,title,url,publish_date,text
2330.TW,科技廠漲價潮浮現「二次通膨」隱憂？元大投顧胡睿涵：AI 投資轉向應用端,https://finance.technews.tw/2026/06/29/secondary/,2026-06-29 15:48:00,"全球股市劇烈震盪，為精準捕捉 AI 成長紅利並兼顧現金流收益，元大投信推出「元大優質收益成長多重資產基金」，預計自 7 月 8 日展開募集，元大投顧董事長胡睿涵表示，股市目前屬於震盪整理，而非邁入空頭，AI 長線趨勢依然確立，但投資目光應逐漸從「基礎建設」轉向「應用層面」。

元大投信表示，以往投資人在高成長、現金流收益進行抉擇，須面對複雜風險包括單純股票基金波動可能顯著，傳統收益又多聚焦於非投資等級債，而新一代收益成長策略透過股票部位積極追求成長，並透過高品質資產與掩護性買權，強化收益韌性。

針對科技廠漲價潮，胡睿涵表示，原本的的通膨主要受到地緣政治衝突與預期心理導致的油價與民生物資飆漲所致，屬於「一次性通膨」，而真正的「二次通膨」正在醞釀，並預計將從 7 月開始逐漸發酵。
胡睿涵指出，科技廠漲價潮，包括蘋果、微軟、台積電等科技巨頭，以及 IC 設計、汽車與代工服務等，皆因原物料與製造成本上升而宣布調漲，至於美國的 PPI（生產者物價指數）、CPI 與 PCE 皆創近期新高，其中領先指標 PPI 更來到 6.5% 的高位。

受到資金豐沛的大環境影響，胡睿涵認為，通膨水平難以回到過去 2% 的目標值，未來維持在 3% 左右將成為常態，但面對股市回檔，強調從核心指標來看，全球雲端服務供應商（CSP）的資本支出並未收斂，甚至連體質相對較弱的甲骨文都持續加碼投資。
胡睿涵分析，只要龍頭大廠的資本支出不減，AI 的底層需求就依然強勁，而且輝達（NVIDIA）執行長黃仁勳與 AMD 執行長蘇姿丰曾表示，AI 產業目前只打到「第三、四局」，回顧重大科技產品的常態循環至少長達 8年，因此 AI 產業仍有極長的發展壽命。
針對未來的 AI 投資布局，胡睿涵點出「板塊輪動」的重要性，目前市場熱炒的電力、晶片、先進製程與資料中心屬於底層的基礎建設。但真正能讓 AI 實現獲利爆發的是上層的軟體、模型與應用端（如代理 AI、機器人等），儘管完全成熟還需要 3~10 年，但這將是未來的獲利主戰場。

元大投信表示，元大優質收益成長多重資產基金採取「資產成長+收益策略」雙軸並進，不僅鎖定科技創新、AI 應用及相關產業趨勢，更結合美國公債部位與「常態性掩護性買權策略」，並在參與資產潛在成長的同時，透過收取權利金來提升整體的收益來源，配合市況動態調整。
績效表現方面，元大投信指出，元大投信投資團隊旗下包括元大全球優質龍頭企業平衡基金、元大日本優質龍頭企業基金，短、中、長期表現均位於同類型前茅，並持續突顯主動操作的靈活彈性優勢，更能追求超額報酬的優異表現。
元大投信提醒，基金成立後預計聚焦科技成長題材，並常態性透過持有美國公債或全球股票的投資組合，同時賣出相對應部位的選擇權買權來架構出常態性掩護性買權策略，雖然稱為掩護性買權，但該策略仍存在跌價風險，且收取權利金收入在資產上漲時將抵銷部分報酬。
（首圖來源：科技新報）"
2330.TW,蔣尚義：訊芯具 CPO 量產能力，掌握面板級封裝商機,https://finance.technews.tw/2026/06/26/6451-cpo/,2026-06-26 17:20:00,"鴻海集團轉投資系統模組封裝廠訊芯-KY 今天召開股東會，訊芯-KY董事長蔣尚義指出，鴻海集團具備扇出型面板級封裝（FOPLP）經驗，未來若玻璃基板發展確立，訊芯與鴻海集團內部有能力掌握契機。
蔣尚義表示，玻璃基板長期可成為先進封裝重要發展，仍需確認製程路線和建立建立供應鏈。
訊芯-KY也透露，正與晶圓代工大廠台積電在緊湊型通用光子引擎COUPE（Compact Universal Photonic Engine）技術平台合作，布局後段光學引擎（OE）領域。
訊芯-KY指出，大型雲端服務供應商（CSP）算力中心與邊緣運算需求將持續成長，訊芯深耕半導體封裝測試領域，並掌握CPO等先進封裝核心，在矽光子領域占有一席之地，集團已具備51.2T與102.4T CPO量產能力。
展望越南布局和資本支出規劃，訊芯-KY總經理徐文一表示，越南新廠效益預計今年底逐步發酵，2027年量產效益可期，因應客戶需求，預計到2027年擴大投資，資本支出合計規模新台幣40至50億元，主要布局矽光子CPO自動化生產線與先進封裝。
訊芯-KY表示，未來不排除前往其他海外市場設廠，按照客戶明確需求，評估包括馬來西亞、新加坡等地。訊芯-KY表示，越南光州廠建置進度如期推進，以新增產能與區域交付能力為基礎，推動導入國際客戶合作專案。
展望今年營運，訊芯-KY評估業績目標成長雙位數百分比，明年成長幅度續增。
訊芯-KY今天股東會也全面改選董事，新增兩位獨立董事張美玲與左大川。蔣尚義指出，兩位新增獨董是他的老朋友，期盼補強公司專業經理與法務管理。
（作者：鍾榮峰；首圖來源：鴻海）"
2317.TW,蔣尚義：訊芯具 CPO 量產能力，掌握面板級封裝商機,https://finance.technews.tw/2026/06/26/6451-cpo/,2026-06-26 17:20:00,"鴻海集團轉投資系統模組封裝廠訊芯-KY 今天召開股東會，訊芯-KY董事長蔣尚義指出，鴻海集團具備扇出型面板級封裝（FOPLP）經驗，未來若玻璃基板發展確立，訊芯與鴻海集團內部有能力掌握契機。
蔣尚義表示，玻璃基板長期可成為先進封裝重要發展，仍需確認製程路線和建立建立供應鏈。
訊芯-KY也透露，正與晶圓代工大廠台積電在緊湊型通用光子引擎COUPE（Compact Universal Photonic Engine）技術平台合作，布局後段光學引擎（OE）領域。
訊芯-KY指出，大型雲端服務供應商（CSP）算力中心與邊緣運算需求將持續成長，訊芯深耕半導體封裝測試領域，並掌握CPO等先進封裝核心，在矽光子領域占有一席之地，集團已具備51.2T與102.4T CPO量產能力。
展望越南布局和資本支出規劃，訊芯-KY總經理徐文一表示，越南新廠效益預計今年底逐步發酵，2027年量產效益可期，因應客戶需求，預計到2027年擴大投資，資本支出合計規模新台幣40至50億元，主要布局矽光子CPO自動化生產線與先進封裝。
訊芯-KY表示，未來不排除前往其他海外市場設廠，按照客戶明確需求，評估包括馬來西亞、新加坡等地。訊芯-KY表示，越南光州廠建置進度如期推進，以新增產能與區域交付能力為基礎，推動導入國際客戶合作專案。
展望今年營運，訊芯-KY評估業績目標成長雙位數百分比，明年成長幅度續增。
訊芯-KY今天股東會也全面改選董事，新增兩位獨立董事張美玲與左大川。蔣尚義指出，兩位新增獨董是他的老朋友，期盼補強公司專業經理與法務管理。
（作者：鍾榮峰；首圖來源：鴻海）"
3037.TW,ABF 擴產熱！長廣交貨排程直達 2027 年底、營運喊衝,https://finance.technews.tw/2026/06/26/abf-eternal-epm/,2026-06-26 11:40:00,"AI 伺服器、HPC 需求快速擴張，ABF 載板呈現供不應求熱況，國際大廠也紛紛啟動投資計畫，為相關設備廠創造絕佳機會。
長興旗下小金雞長廣高階ABF載板用真空壓膜機具備高市佔率，目前大單持續湧入，且交機排程直達2027年底，看好公司今年營收逐季往上，今年雙位數成長可期。
長廣隸屬於長興集團，係由長興經分割讓與電子材料事業單位的電材設備的專案組與100%持有之日本子公司Nikko-Materials Co. Ltd.組成。長廣專注真空壓膜機設備，主要應用領域ABF載板，全球IC載板產業市占率達95%，客戶涵蓋日本Ibiden、欣興、韓國三星電機等。
AI驅動下，ABF載板需求噴發，市場預估下半年至2028年供需吃緊狀況將更趨嚴重，國際大廠也持續上修資本支出，Ibiden將在三年內（2026年度至2028年度）投資約5,000億日圓，擴增高效能IC載板；欣興年更已兩度追加資本支出計畫，最新提高至340億元，約七成投入ABF載板擴產。
長廣長期深耕IC載板製程設備，核心產品為高階ABF載板用真空壓膜機、幾乎獨佔全球，佔營收比重達八成。公司專攻三段式真空壓膜機，是目前AI伺服器及高效能運算封裝最關鍵的設備之一，對應十層以上高階封裝基板，並支援AI GPU、資料中心晶片、高階CPU等載板製程。
法人表示，AI伺服器等新應用需求浮現，帶動ABF重返供不應求熱況，長廣成為主要受惠者之一，目前公司一年產能約200多台，正致力於產能去瓶頸。由於載板廠擴產集中今年後，考量設備交期約八個月，因此長廣儘管掌握大單，使今年以來營收表現相對平淡。
法人進一步指出，客戶持續追單之下，長廣目前交機排程已達2027年底，甚至有客戶下預付款盼優先預定產能。以交期、裝機驗收時程推估，長廣今年第三季營收有望回升，第四季正式進入營收認列爆發期，且高峰將延續明年一整年，看好公司今年營運重返成長，明年更旺。
（本文由MoneyDJ新聞授權轉載；首圖來源：長廣精機）"
2345.TW,"受惠 800G / 1.6T 交換器升級！外資首評智邦優於大盤、目標價喊上 3,600 元",https://technews.tw/2026/06/25/foreign-investor-see-accton-0624/,2026-06-25 16:41:00,"美系外資出具最新報告，並對智邦的初次評等為「優於大盤」、目標價3,600元 ，認為受惠於AI資料中心網路升級浪潮，該公司2025至2028年獲利年複合成長率（CAGR）可望達到約50%。
美系外資指出，智邦主要受惠於800G/ 1.6T交換器快速升級、Meta資料中心的頂級機架（ToR）市占率提升，以及AWS ASIC動能中重新恢復，且擴展到伺服器機架和光學周邊領域，將提供進一步的潛在成長空間。該外資亦預期，智邦今、明年EPS分別為82.6元和113.5元。
日系外資大和證券先前指出，Scale-up switch帶來新的潛在市場（TAM），加上新客戶滲透與OCS（Optical Circuit Switch，光學電路交換）機會來臨，重申對智邦的正向看法，維持買進、目標價從1,820元上調至3,222元。
大和指出，智邦正從ToR交換器供應商，轉型為AI模組組裝廠，並為其首家客戶邁入scale-up switch開發的第三階段；至於第二大成長動能，則來自超大規模雲端客戶的800G switch銷售，自第一季起將貢獻整體營收接近低雙位數百分比，並有望在2026年占總營收約15%。
大和認為，智邦正複製第一間客戶的成功模式，而第二家客戶目前仍處於第一階段。不過，未來能否順利進入第二與第三階段，仍取決於第二家客戶ASIC AI伺服器的開發進程。
智邦近年持續出貨800G交換器及AI加速器模組，預期下半年新產品1.6T交換器可望放量出貨，OCS交換器亦有望量產出貨，而OWS交換器與客戶進行驗證測試階段。
智邦今（25日）以2,485元開出，隨後逐步收斂漲幅，終場以2,380元作收、上漲0.21%。
（首圖來源：智邦）"
2317.TW,蘋果摺疊 iPhone 量產 7 月底起跑  9 月如期發表,https://technews.tw/2026/06/25/apple-to-begin-foldable-iphone-production-in-july-after-resolving-hinge-issues/,2026-06-25 08:50:00,"蘋果（Apple）首款摺疊 iPhone 問世進入倒數階段。供應鏈消息指出，蘋果已完成產品規格定案，預計 7 月底啟動量產，並按原定計畫於 9 月新品發表會正式亮相，上市後可望為全球手機市場注入新一波換機需求。
韓媒《The Elec》引述台韓供應鏈消息報導，蘋果摺疊iPhone目前已進入量產前的最終確認階段，初期由鴻海負責代工組裝，今年4月已完成工程試產（Engineering Production Run），量產線預計7月底正式啟動。
蘋果摺疊iPhone將搭載三星顯示器（Samsung Display）獨家供應的OLED面板，由三星越南廠負責後段製程加工，日前已順利通過最終量產驗證，初期年供貨量約300萬片。
至於攸關開闔手感、產品耐用度及螢幕摺痕的核心零件「鉸鏈（hinge）」，由台灣新日興與美國安費諾（Amphenol）共同供應，並採用3D列印技術製造，以增加強度與耐用性。
供應鏈人士透露，摺疊iPhone開發過程中，確實曾出現鉸鏈異音，以及零件公差影響組裝良率等問題，不過問題大致上已經解決，目前量產進度未受影響，預料將如期於今年秋季亮相。
（本文由MoneyDJ新聞授權轉載；首圖來源：Flickr/MIKI YoshihitoCC BY 2.0）"
8069.TWO,元瀚材料自研無溶劑 OCA，可量產供應、瞄準新世代顯示應用,https://technews.tw/2026/06/24/yuanhan-materials-20260624/,2026-06-24 14:19:00,"E Ink元太科技子公司元瀚材料自主研發生產的無溶劑 OCA（Optically Clear Adhesive，光學透明膠），成功應用在多款終端產品。

OCA 為顯示產業的關鍵材料，主要應用在顯示面板和保護蓋板之間的光學貼合。透過高透明度和光學特性，可有效降低反射、提升透光率及顯示清晰度，同時提升產品可靠度和耐用性。對重視視覺品質和使用體驗的各類顯示產品而言，OCA 在顯示性能、可靠度及製造效率方面扮演重要角色。
與元太在材料、顯示技術及量產的密切合作下，元瀚材料從材料配方設計、模組開發到量產製程驗證，持續最佳化貼合品質和生產效率，並針對不同產品需求提供客製化解決方案。目前產品厚度規格涵蓋 25~300 微米（μm），可滿足不同尺寸、結構及應用場景的需求。
除優異光學性能外，永續製造也是元瀚材料的重要發展方向，其 OCA 採用全無溶劑（Solvent-Free）製程，相較傳統含溶劑製程，可有效降低揮發性有機化合物排放和環境負荷，協助客戶建立更具永續競爭力的供應鏈體系。
元瀚材料已具備量產供應能力，透過在地化研發和生產優勢，元瀚材料能夠提供快速的技術支援、靈活的產品客製化能力，並且穩定供貨。元瀚材料持續與品牌客戶、模組廠及產業夥伴展開共同開發和產品驗證，推動更高效、更低碳且更具永續競爭力的新世代顯示應用發展。
隨著全球顯示市場持續朝向高效能、低碳及多元應用發展，元瀚材料將持續投入光學貼合材料創新研發，並結合元太累積的技術和製造經驗，提供從關鍵材料、顯示模組到系統整合的完整支援。
（首圖來源：元太科技）"
2330.TW,科技吃肉、傳產喝湯！台積電 3.8 兆營收稱霸全台、中後段傳產卻在縮編缺人,https://finance.technews.tw/2026/06/24/technology-eats-meat/,2026-06-24 11:23:00,"根據 CRIF 中華徵信所「2026 年版台灣大型企業排名 TOP5000」最新調查結果顯示，過去一年美中衝突、原物料價揚、通膨升溫等地緣政治干擾方興未艾，但在全球 AI 算力資本支出持續擴張、輝達及四大雲端龍頭所屬供應鏈需求急速升溫，推動台灣成為 AI 產業主要受益經濟體之一。

台灣經濟成長率 8.68% 創 15 年新高，反映在 5,000 大企業總體營運同步攀峰，其中營收總額達 48 兆 5,012 億元、稅後純益達 5 兆 7,748 億元，雙創歷史新高，但企業獲利分歧加劇，平均營收成長率、平均淨值報酬率及平均資產報酬率皆為三年低點，虧損家數數據攀升至近十年最多數量。

檢視 CRIF 調查數據，5000 大企業繼 2024 年後再一次刷新歷史紀錄，營收成長率 10.98％、稅後純益成長率 11.01%，營收總額突破至 48.50 兆、稅後純益總額達 5.77 兆的新階段，並適逢「主動式 ETF 元年」引領金融商品走向多元化，推升全年證交稅衝上歷史新高。
檢視金融業經營績效前十名，目前有高達九家由「證券及投信」囊括，綜合績效顯著優於傳統金控、銀行與人壽保險、且平均純益率高達 51.91％，具體體現總體經濟擴張紅利，外溢至資本市場獲利最為豐厚的核心受益產業。

全台 5,000 大企業總體亮麗成績單的背後，企業獲利分歧的景況嚴峻，首先是營收增加廠商家數 2,611 家衰退，平均營收成長率 14.95%、平均資產報酬率 4.28%、平均淨值報酬率 7.74% 等三個數據創近三年新低，呈現三率三降。
進一步檢視 5,000 大企業過去十年虧損廠商家數落在 422 至 631 家區間，但 2025 年在營收獲利雙創記錄的績效，虧損廠商家數卻上升到 772 家，企業獲利分歧較往年更為加劇，重點科技業與龍頭企業在人才、資金、水電資源配置，都讓傳統產業與中小型企業，面對通膨與成本上漲的夾擊。

回顧 5,000 大企業近五十年 TOP10 產業變遷，台灣從「勞力密集」蛻變為「全球科技重鎮」的進程，具體可劃分為三個決定性的演進階段：一、傳統民生與基礎工業期（1975-1985），由南亞塑膠、台泥、大同、遠東紡織等企業霸榜，屬於勞力與資本密集型的民生物資時代。
二、國營公用、金融與資通訊代工崛起期（1995-2005），隨著經濟起飛，台灣中油、台灣電力、國泰人壽等特許與公用事業因內需市場龐大而穩居營收前列，而經濟火車頭由鴻海精密與廣達電腦在 2005 年強勢登頂前五大，宣告台灣成功轉型為全球電子資訊硬體（EMS）的代工重鎮。

三、全球半導體與 AI 算力期（2015-2025），由於產業附加價值隨科研進程產生質變，2005 年尚位居第十名的台積電，2025 年以接近 3.8 兆元的驚人營收空降奪冠，，代表台灣從資通訊系統組裝，升級為全球高效能運算與 AI 算力基礎建設的「矽島」崛起，確保未來的全球競爭優勢。
CRIF 指出，人力及電力供應已成為攸關經濟安全與產業韌性問題，首先是少子化結構短期難解、科技龍頭「虹吸效應」將導致產業嚴重失衡，高薪聚攏人才、部分傳統產業已面臨缺工與營運壓力，導致傳統勞力密集型產業的基層完全招不到人，二度就業市場及整體人力資源仍有待高效配置。

（首圖來源：台積電）"
2382.TW,科技吃肉、傳產喝湯！台積電 3.8 兆營收稱霸全台、中後段傳產卻在縮編缺人,https://finance.technews.tw/2026/06/24/technology-eats-meat/,2026-06-24 11:23:00,"根據 CRIF 中華徵信所「2026 年版台灣大型企業排名 TOP5000」最新調查結果顯示，過去一年美中衝突、原物料價揚、通膨升溫等地緣政治干擾方興未艾，但在全球 AI 算力資本支出持續擴張、輝達及四大雲端龍頭所屬供應鏈需求急速升溫，推動台灣成為 AI 產業主要受益經濟體之一。

台灣經濟成長率 8.68% 創 15 年新高，反映在 5,000 大企業總體營運同步攀峰，其中營收總額達 48 兆 5,012 億元、稅後純益達 5 兆 7,748 億元，雙創歷史新高，但企業獲利分歧加劇，平均營收成長率、平均淨值報酬率及平均資產報酬率皆為三年低點，虧損家數數據攀升至近十年最多數量。

檢視 CRIF 調查數據，5000 大企業繼 2024 年後再一次刷新歷史紀錄，營收成長率 10.98％、稅後純益成長率 11.01%，營收總額突破至 48.50 兆、稅後純益總額達 5.77 兆的新階段，並適逢「主動式 ETF 元年」引領金融商品走向多元化，推升全年證交稅衝上歷史新高。
檢視金融業經營績效前十名，目前有高達九家由「證券及投信」囊括，綜合績效顯著優於傳統金控、銀行與人壽保險、且平均純益率高達 51.91％，具體體現總體經濟擴張紅利，外溢至資本市場獲利最為豐厚的核心受益產業。

全台 5,000 大企業總體亮麗成績單的背後，企業獲利分歧的景況嚴峻，首先是營收增加廠商家數 2,611 家衰退，平均營收成長率 14.95%、平均資產報酬率 4.28%、平均淨值報酬率 7.74% 等三個數據創近三年新低，呈現三率三降。
進一步檢視 5,000 大企業過去十年虧損廠商家數落在 422 至 631 家區間，但 2025 年在營收獲利雙創記錄的績效，虧損廠商家數卻上升到 772 家，企業獲利分歧較往年更為加劇，重點科技業與龍頭企業在人才、資金、水電資源配置，都讓傳統產業與中小型企業，面對通膨與成本上漲的夾擊。

回顧 5,000 大企業近五十年 TOP10 產業變遷，台灣從「勞力密集」蛻變為「全球科技重鎮」的進程，具體可劃分為三個決定性的演進階段：一、傳統民生與基礎工業期（1975-1985），由南亞塑膠、台泥、大同、遠東紡織等企業霸榜，屬於勞力與資本密集型的民生物資時代。
二、國營公用、金融與資通訊代工崛起期（1995-2005），隨著經濟起飛，台灣中油、台灣電力、國泰人壽等特許與公用事業因內需市場龐大而穩居營收前列，而經濟火車頭由鴻海精密與廣達電腦在 2005 年強勢登頂前五大，宣告台灣成功轉型為全球電子資訊硬體（EMS）的代工重鎮。

三、全球半導體與 AI 算力期（2015-2025），由於產業附加價值隨科研進程產生質變，2005 年尚位居第十名的台積電，2025 年以接近 3.8 兆元的驚人營收空降奪冠，，代表台灣從資通訊系統組裝，升級為全球高效能運算與 AI 算力基礎建設的「矽島」崛起，確保未來的全球競爭優勢。
CRIF 指出，人力及電力供應已成為攸關經濟安全與產業韌性問題，首先是少子化結構短期難解、科技龍頭「虹吸效應」將導致產業嚴重失衡，高薪聚攏人才、部分傳統產業已面臨缺工與營運壓力，導致傳統勞力密集型產業的基層完全招不到人，二度就業市場及整體人力資源仍有待高效配置。

（首圖來源：台積電）"
2317.TW,科技吃肉、傳產喝湯！台積電 3.8 兆營收稱霸全台、中後段傳產卻在縮編缺人,https://finance.technews.tw/2026/06/24/technology-eats-meat/,2026-06-24 11:23:00,"根據 CRIF 中華徵信所「2026 年版台灣大型企業排名 TOP5000」最新調查結果顯示，過去一年美中衝突、原物料價揚、通膨升溫等地緣政治干擾方興未艾，但在全球 AI 算力資本支出持續擴張、輝達及四大雲端龍頭所屬供應鏈需求急速升溫，推動台灣成為 AI 產業主要受益經濟體之一。

台灣經濟成長率 8.68% 創 15 年新高，反映在 5,000 大企業總體營運同步攀峰，其中營收總額達 48 兆 5,012 億元、稅後純益達 5 兆 7,748 億元，雙創歷史新高，但企業獲利分歧加劇，平均營收成長率、平均淨值報酬率及平均資產報酬率皆為三年低點，虧損家數數據攀升至近十年最多數量。

檢視 CRIF 調查數據，5000 大企業繼 2024 年後再一次刷新歷史紀錄，營收成長率 10.98％、稅後純益成長率 11.01%，營收總額突破至 48.50 兆、稅後純益總額達 5.77 兆的新階段，並適逢「主動式 ETF 元年」引領金融商品走向多元化，推升全年證交稅衝上歷史新高。
檢視金融業經營績效前十名，目前有高達九家由「證券及投信」囊括，綜合績效顯著優於傳統金控、銀行與人壽保險、且平均純益率高達 51.91％，具體體現總體經濟擴張紅利，外溢至資本市場獲利最為豐厚的核心受益產業。

全台 5,000 大企業總體亮麗成績單的背後，企業獲利分歧的景況嚴峻，首先是營收增加廠商家數 2,611 家衰退，平均營收成長率 14.95%、平均資產報酬率 4.28%、平均淨值報酬率 7.74% 等三個數據創近三年新低，呈現三率三降。
進一步檢視 5,000 大企業過去十年虧損廠商家數落在 422 至 631 家區間，但 2025 年在營收獲利雙創記錄的績效，虧損廠商家數卻上升到 772 家，企業獲利分歧較往年更為加劇，重點科技業與龍頭企業在人才、資金、水電資源配置，都讓傳統產業與中小型企業，面對通膨與成本上漲的夾擊。

回顧 5,000 大企業近五十年 TOP10 產業變遷，台灣從「勞力密集」蛻變為「全球科技重鎮」的進程，具體可劃分為三個決定性的演進階段：一、傳統民生與基礎工業期（1975-1985），由南亞塑膠、台泥、大同、遠東紡織等企業霸榜，屬於勞力與資本密集型的民生物資時代。
二、國營公用、金融與資通訊代工崛起期（1995-2005），隨著經濟起飛，台灣中油、台灣電力、國泰人壽等特許與公用事業因內需市場龐大而穩居營收前列，而經濟火車頭由鴻海精密與廣達電腦在 2005 年強勢登頂前五大，宣告台灣成功轉型為全球電子資訊硬體（EMS）的代工重鎮。

三、全球半導體與 AI 算力期（2015-2025），由於產業附加價值隨科研進程產生質變，2005 年尚位居第十名的台積電，2025 年以接近 3.8 兆元的驚人營收空降奪冠，，代表台灣從資通訊系統組裝，升級為全球高效能運算與 AI 算力基礎建設的「矽島」崛起，確保未來的全球競爭優勢。
CRIF 指出，人力及電力供應已成為攸關經濟安全與產業韌性問題，首先是少子化結構短期難解、科技龍頭「虹吸效應」將導致產業嚴重失衡，高薪聚攏人才、部分傳統產業已面臨缺工與營運壓力，導致傳統勞力密集型產業的基層完全招不到人，二度就業市場及整體人力資源仍有待高效配置。

（首圖來源：台積電）"
