tickers,title,url,publish_date,text
2345.TW,"受惠 800G / 1.6T 交換器升級！外資首評智邦優於大盤、目標價喊上 3,600 元",https://technews.tw/2026/06/25/foreign-investor-see-accton-0624/,2026-06-25 16:41:00,"美系外資出具最新報告，並對智邦的初次評等為「優於大盤」、目標價3,600元 ，認為受惠於AI資料中心網路升級浪潮，該公司2025至2028年獲利年複合成長率（CAGR）可望達到約50%。
美系外資指出，智邦主要受惠於800G/ 1.6T交換器快速升級、Meta資料中心的頂級機架（ToR）市占率提升，以及AWS ASIC動能中重新恢復，且擴展到伺服器機架和光學周邊領域，將提供進一步的潛在成長空間。該外資亦預期，智邦今、明年EPS分別為82.6元和113.5元。
日系外資大和證券先前指出，Scale-up switch帶來新的潛在市場（TAM），加上新客戶滲透與OCS（Optical Circuit Switch，光學電路交換）機會來臨，重申對智邦的正向看法，維持買進、目標價從1,820元上調至3,222元。
大和指出，智邦正從ToR交換器供應商，轉型為AI模組組裝廠，並為其首家客戶邁入scale-up switch開發的第三階段；至於第二大成長動能，則來自超大規模雲端客戶的800G switch銷售，自第一季起將貢獻整體營收接近低雙位數百分比，並有望在2026年占總營收約15%。
大和認為，智邦正複製第一間客戶的成功模式，而第二家客戶目前仍處於第一階段。不過，未來能否順利進入第二與第三階段，仍取決於第二家客戶ASIC AI伺服器的開發進程。
智邦近年持續出貨800G交換器及AI加速器模組，預期下半年新產品1.6T交換器可望放量出貨，OCS交換器亦有望量產出貨，而OWS交換器與客戶進行驗證測試階段。
智邦今（25日）以2,485元開出，隨後逐步收斂漲幅，終場以2,380元作收、上漲0.21%。
（首圖來源：智邦）"
8069.TWO,元瀚材料自研無溶劑 OCA，可量產供應、瞄準新世代顯示應用,https://technews.tw/2026/06/24/yuanhan-materials-20260624/,2026-06-24 14:19:00,"E Ink元太科技子公司元瀚材料自主研發生產的無溶劑 OCA（Optically Clear Adhesive，光學透明膠），成功應用在多款終端產品。

OCA 為顯示產業的關鍵材料，主要應用在顯示面板和保護蓋板之間的光學貼合。透過高透明度和光學特性，可有效降低反射、提升透光率及顯示清晰度，同時提升產品可靠度和耐用性。對重視視覺品質和使用體驗的各類顯示產品而言，OCA 在顯示性能、可靠度及製造效率方面扮演重要角色。
與元太在材料、顯示技術及量產的密切合作下，元瀚材料從材料配方設計、模組開發到量產製程驗證，持續最佳化貼合品質和生產效率，並針對不同產品需求提供客製化解決方案。目前產品厚度規格涵蓋 25~300 微米（μm），可滿足不同尺寸、結構及應用場景的需求。
除優異光學性能外，永續製造也是元瀚材料的重要發展方向，其 OCA 採用全無溶劑（Solvent-Free）製程，相較傳統含溶劑製程，可有效降低揮發性有機化合物排放和環境負荷，協助客戶建立更具永續競爭力的供應鏈體系。
元瀚材料已具備量產供應能力，透過在地化研發和生產優勢，元瀚材料能夠提供快速的技術支援、靈活的產品客製化能力，並且穩定供貨。元瀚材料持續與品牌客戶、模組廠及產業夥伴展開共同開發和產品驗證，推動更高效、更低碳且更具永續競爭力的新世代顯示應用發展。
隨著全球顯示市場持續朝向高效能、低碳及多元應用發展，元瀚材料將持續投入光學貼合材料創新研發，並結合元太累積的技術和製造經驗，提供從關鍵材料、顯示模組到系統整合的完整支援。
（首圖來源：元太科技）"
3008.TW,光學大廠轉型布局 CPO 市場、外資則對股價表現看法不一,https://finance.technews.tw/2026/06/22/major-optics-manufacturers-are-actively-expanding-into-the-cpo-market/,2026-06-22 09:00:00,"隨著全球智慧型手機市場逐漸飽和以及來自中國的激烈競爭，曾帶動全球科技趨勢變革的台灣光學產業正迎接關鍵的轉折時刻。根據市場分析師分析，包含大立光、玉晶光與先進光等過去二十年來受惠於手機鏡頭升級而快速成長的光學巨頭，如今正積極尋找新的成長動能，而 AI 資料中心、矽光子（Silicon Photonics）與共同封裝光電元件（CPO）架構，已成為他們跨入高毛利半導體領域的關鍵解方。

隨著AI技術帶來龐大的運算需求，資料中心的資料傳輸速率正從400G、800G向1.6T甚至3.2T高速演進。然而，傳統銅線在高速傳輸下不僅無法負荷，還會產生過高的功耗與散熱問題，這強烈驅動了以光來傳輸資訊的需求。CPO技術透過將光學元件與矽晶片直接封裝在一起，能大幅縮短訊號傳輸距離、降低功耗與熱能，並將數據傳輸速度提升至1.6T。
然而，跨入CPO領域需要極高的光學技術含金量。這類系統需要稜鏡（Prism）、微透鏡陣列、準直器（Collimator）、光纖陣列單元與V型槽（V-Groove）等複雜元件，且全部需要低於1微米的精密微製造技術，而這恰好是台灣光學廠在智慧手機時代所練就的製造優勢。其中，身為蘋果iPhone主力鏡頭供應商的光學龍頭大立光，正快速將業務重心轉向CPO領域。大立光董事長林恩平指出，面對市場主流逐漸轉向AI，現有業務若不轉型恐難逃被取代的命運。
目前，大立光已積極投入稜鏡、準直器與光纖陣列元件製造，並計劃於本月開始提供客戶樣品，預計9月將建立自動化光纖陣列試產線。市場消息更指出，大立光展示了一款傳輸容量達6.4T的CPO產品，技術領先現有解決方案至少三個世代，此消息也帶動其股價六年來首度突破新台幣5,000元大關。
另一大廠玉晶光則已進入客戶驗證與少量生產階段。玉晶光董事長陳天慶表示，公司已開始測試MT（機械轉接）插芯、準直器、稜鏡與V型槽等產品的商業可行性，預期其被動CPO產品將在2027至2028年間進入穩定量產，為公司帶來手機鏡頭以外的重要第二營收來源。此外，先進光則由董事長高維亞領軍，利用其在玻璃領域的專業技術專攻光纖陣列中的基礎元件V型槽。為了降低新市場風險，先進光將與大股東大立光共同向全球資料中心客戶提交產品樣品。
台灣光學廠向AI硬體轉型的佈局，引起了金融機構的高度關注。野村、花旗與瑞銀均給予大立光「買進」投資評等，其中瑞銀更給出新台幣5,325元的目標價，認為即使在保守的經濟環境下，CPO仍將為大立光帶來實質的獲利成長。不過，摩根大通則給予「中立」評等與3,600元目標價，認為儘管CPO基本面良好，但估值已反映其地位，且實際的市場整合速度可能慢於市場樂觀預期。
針對玉晶光，國泰證券分析師亦給予「中立」評等，強調AI資料中心基礎設施雖推升了被動光學元件的需求，但公司中短期營運仍將依賴高階智慧手機鏡頭升級與智慧眼鏡，長線發展則將取決於資料中心矽光子業務的成效，穩健的策略將有望帶領玉晶光邁向全新發展軌道。
(首圖來源：影片截圖)"
2330.TW,讓玻璃變身晶片一部分，康寧攜手台積電、英特爾強攻先進封裝新戰局,https://technews.tw/2026/06/20/exclusive-look-corning-rd-base-unveiling-ai-glass-revolution/,2026-06-20 09:00:00,"過去，玻璃改變了顯示器產業；未來，玻璃即將再次改變半導體產業。美商康寧正結合台灣的研發實力，助攻台積電突破 CPO 的關鍵技術瓶頸，讓晶片效率再更上一層樓。
最新一期《財訊》雙週刊製作「康寧玻璃革命」革命，專訪康寧執行長魏文德（Wendell P. Weeks），同時直擊康寧在台灣的研發基地，解析玻璃材料在半導體製程的角色，未來如何協同台廠搶攻新一波AI大商機。
《財訊》報導指出，創立已有175年的康寧，是少數同時擁有玻璃與光纖兩大利器的廠商。隨著強大的AI需求，正掀起一波波材料技術革命。去年康寧首度在台灣成立半導體先進封裝團隊，緊接著又於今年初成立CPO業務部門；今年5月6日，再宣布正式成立光通訊解決方案事業群。
康寧持續擴大在台布局。根據經濟部統計，康寧在台累積投資已超過1,500億元，為台灣規模最大的外商投資企業之一。種種跡象顯示，台灣康寧已經成為串聯美國總部發展的重要據點之一。如今，康寧不僅是唯一在台灣投資玻璃熔爐生產線的國際玻璃大廠，還擁有落地多年的新竹研發中心以及內湖亞洲玻璃技術中心，在這一波材料革命中扮演不可或缺的角色。
其中，成立20年的康寧新竹研發中心，是康寧海外9大研發中心之一。《財訊》是首家獲准進入參觀康寧新竹研發中心的媒體，全程被要求禁止拍照。這個神祕基地的外觀並不起眼，事實上，新竹研發中心以材料技術、有機材料、生物科技為主，延伸到元件、系統，涵蓋鍍膜、表面科學與相關製程技術。
另一個研發重點，則是AI模型與運算技術（Modeling and Computing Technology），包含許多傳統的物理建模能力。《財訊》報導指出，康寧新竹研發中心，可以看到非常前瞻的技術開發；未來還會投入更多資源在光通訊專案，加入工研院的CPO聯盟，共同建構產業生態系。
《財訊》報導指出，康寧另一個AI應用焦點，則是玻璃基板。目前業界討論度最高的技術，則是玻璃核心基板。這項技術是讓玻璃直接成為晶片封裝結構的一部分；這不僅是英特爾最早投入的前瞻技術，也是台積電未來先進封裝技術的重要目標，而康寧內部也有相關專案團隊，正與英特爾、台積電以及亞洲設備供應鏈密切合作。
（本文由財訊授權轉載）"
2330.TW,搶攻 CPO 市場，IET-KY 布局 InP、QD 雷射磊晶商機,https://technews.tw/2026/06/18/iet-cpo-inp-els-qd-laser/,2026-06-18 17:56:00,"隨著未來AI基礎設施將逐步從電訊號互連走向光訊號互連，近期網路掀起有關台積電、英特爾先進封裝路線與技術的論戰，從業界角度觀察，未來在光通訊下，散熱、良率、成本都將是相當重要的一環。
目前市場主流CPO架構大多採用外部雷射源（ELS）方案，將雷射器移出高溫封裝區域，放置於系統較低溫的位置，再透過光纖將光訊號導入光學引擎。由於光線需經過光纖、連接器及分光元件傳輸，在過程中會產生大量插入損耗問題。為了補償損耗，企業會使用更高功率的磷化銦（InP）雷射器，但也進一步加劇全球InP基板供應壓力。
目前英特爾在基板設計上，考慮採用封裝內建光源。由於光源直接位於封裝內部，也能有效消除外部光纖導入所造成的插入損耗問題。不過，要讓雷射器進入封裝內部，首先必須解決高溫環境下的穩定性問題，目前業界也在觀察量子點雷射（QD Laser）能否成為具潛力的解決方案。
由於量子點雷射的效能高度依賴奈米晶體尺寸與均勻度，因此磊晶製程扮演關鍵角色。目前IET-KY正積極研發量子點雷射磊晶技術。
根據《科技新報》報導，相比MOCVD，IET-KY擁有的MBE技術在精準度與自組裝控制上都更適合QD雷射。一旦該技術發展，AI光互連的成本曲線與擴展效率有機會改變，幫助光通訊繼續發展。
針對近期InP缺料問題，董事長高永中表示，公司目前採取自備InP基板與客戶提供基板並行模式，由公司負責磊晶生產，同時客戶也已逐步接受不同基板廠商認證，將持續與主要供應商及客戶合作，爭取更多基板貨源，以支撐後續AI光通訊訂單出貨。
IET-KY 去年宣布與光通訊廠光聖將透過股份交換方式深化雙方策略合作關係，攜手搶食次世代的共同封裝光學（CPO）商機。IET-KY 表示，透過與光聖策略合作深化產業垂直整合，公司能直接掌握終端元件及系統對磊晶材料的規格需求，縮短研發週期、加速產品開發、快速進入市場。
（首圖來源：shutterstock）"
2330.TW,台積電加速布局 CoPoS，台灣面板廠及相關材料、設備商藉 FOPLP 卡位玻璃基板先機,https://technews.tw/2026/06/17/tsmc-copos-foplp-glass-core-substrate/,2026-06-17 15:00:00,"AI 半導體需求爆發驅動先進封裝快速演進，面板級封裝（FOPLP）成各方角力的新戰場。TrendForce 分析，台積電短期聚焦 CoPoS（ Chip-on-Panel-on-Substrate）並鎖定 310×310mm 基板尺寸，今年為相關設備與材料商的驗證關鍵期，2027 年估進入試產，並規劃 2028 下半年量產。下階段布局重點則轉向玻璃基板（Glass Core Substrate），合理量產時程推估落在 2030 年後。
玻璃基板突破仍面臨多重挑戰。核心製程TGV（Through Glass Via）需克服雷射能量不穩定導致孔徑一致性不足、鑽孔過程產生的細微玻璃裂紋、蝕刻液難以深入10μm孔徑影響導通效果，以及大規模量產條件下的動態對位精度等問題。材料端，玻璃雖具備先天平整性佳的優勢，但基板尺寸放大至500×500mm以上後，維持整面奈米級平整度的難度將大幅提升。多層異質材料堆疊後的熱膨脹係數（CTE）不相容問題，也可能引發翹曲，影響曝光對位精度與整體良率。
TrendForce仍指出台灣面板廠具備先發優勢。已有面板廠PMIC與RF等成熟製程的FOPLP實現量產， 封裝尺寸達620×750mm，這既是發揮折舊完畢大尺寸面板產線剩餘價值的最佳體現，亦創造額外現金流。更重要的是，面板廠多年積累的大尺寸方形玻璃搬送、 對位與均勻沉積的知識技術，是向TGV等核心基板加工技術邁進的重要基礎，與半導體廠及OSAT廠商之間有清晰的差異化與互補空間。
台灣本土面板相關材料與設備廠商亦在關鍵環節有所布局。材料端部分，特化廠商推出低溫固化介電層材料，將製程溫度壓至180°C以下，從源頭減少熱應力累積，降低翹曲風險。設備端方面，有廠商採用先以雷射改質，後再蝕刻的兩階段鑽孔製程，較傳統直接雷射燒蝕，更能精準控制10μm以下孔形，已通過國際IDM大廠驗證，出貨量逐步提升。
TrendForce認為，台灣面板廠大尺寸玻璃加工的工藝積累，若能與半導體大廠先進封裝與製程整合的優勢結合，輔以本土材料與設備供應鏈的生態系支撐，並順應台積電持續推動本土化採購政策，有望壓縮玻璃基板成熟的學習曲線， 並為台灣面板產業找到轉型升級的方向。
（首圖來源：shutterstock）"
3008.TW,大立光 CPO 火力全開，四層 FA、PMLA 搶先卡位 6.4T 時代,https://technews.tw/2026/06/17/largan-2026-06-17-cpo/,2026-06-17 09:28:00,"大立光積極切入CPO業務，市場消息傳出，大立光近期已向客戶展示可支援6.4T高速傳輸應用的CPO關鍵光學元件，規格較目前市場主流產品超前約三個世代，顯示公司已具備承接下一代高速光通訊需求的能力，引發市場關注。
目前CPO產業仍處於800G向1.6T升級階段，法人認為，大立光已提前布局6.4T傳輸架構，並領先業界推出四層堆疊的光纖陣列（FA）、以及雙排、80通道PMLA（整合稜鏡的微透鏡陣列）等零組件，約領先三個世代。
技術部分，大立光憑藉光學主動對焦技術優勢，已開發出四層堆疊光纖陣列（FA）以及PMLA等關鍵元件。
大立光今（17日）早盤上漲超過5%，暫報5,125元。
大立光近日亦公告，斥資6.5億元向大族激光科技訂購機器設備，主要目的是供生產使用。大族科技是中國知名工業雷射設備生產商和供應商之一。
林恩平先前在股東會中提到，大立光預計9月完成首條CPO自動化試產線建置，屆時將邀請潛在客戶實地參觀驗證，從試產到小量產時程約需6個月至1年。目前相關製程精度已提升至0.3微米等級。
林恩平指出，目前客戶開的FA規格只有一層，隨著AI算力大增，多層需求恐怕要三、四年後才出來，但隨著算力持續暴增，也有可能提前。這意味著，未來多排堆疊需求也是大立光優勢之一。
目前試產線產品以FA（fiber array，光纖陣列）與MLA（micro lens array，微透鏡陣列）耦合形成FAU（光纖陣列模組），做為重要的新事業方向。大立光在商業模式上是FA與MLA皆可供應，最終取決於客戶規格指定與成本結構考量。
（首圖來源：科技新報）"
3008.TW,林恩平：哪來 4 萬人？大立光靠全自動化機台，9 月亮相 CPO 試產線,https://technews.tw/2026/06/13/largan-fa-automated-production-line-to-be-completed-in-sep/,2026-06-13 09:00:00,"大立光9 日舉行股東會，由董事長林恩平主持。針對外界傳出大立光為了搶攻共同封裝光學（CPO）新事業，恐需招募數萬名大軍進駐，林恩平罕見在會後聯訪時展現幽默感，直白潑冷水：「最近看到報導說什麼（產線）要 4 萬個人，嚇死人了，去哪裡找 4 萬個人？如果有一個 4 萬人的工作，我們也不敢做啊，我們這麼小的公司請不到 4 萬人！」
《財訊》雙週刊指出，林恩平這番話，不僅直接打臉外界對光通訊產業流於「傳統人海戰術」的刻板印象，更首次揭開大立光研發多年、全面揮軍CPO關鍵元件「光纖陣列」（FA）的終極武器──全自動化自製機台線。他並拋出震撼彈，宣示今年9月前大立光首條自動化試產線（Pilot line）將正式布建完成，首度邀請潛在大咖買家實地看廠驗收。
過去光通訊產業因製程繁瑣，幾乎都是用人海戰術在做組裝。但林恩平一針見血地指出現實：「在台灣，你如果要做什麼東西的話，第一個想必是用自動化去想定。你不可能用人海戰術，在台灣根本沒有機會生存。」
大立光之所以有底氣嘲諷「4萬人」的荒謬說法，關鍵就在於其逆天的「自動化研發實力」。林恩平透露，目前市場上根本沒有成熟的CPO自動化線機台在販售，大立光目前的自動化產線設備，除了少數別人已做好的會直接買進，「要不然如果說買不到的，我們大部分都會自己做」。
這條將在9月亮相的自動化試產線，將是內部跨入CPO領域的指標。林恩平坦言：「現在試產的時候是半自動，那個不能做準。你一定要把它推進自動化，才能做準。」產線正式啟動後，每個工站都要精算生產週期。一旦通過客戶認證，最快半年到一年內就能邁入小量產。
根據《財訊》雙週刊報導，林恩平坦言，面對AI科技狂潮，鏡頭工業的心裡壓力很大，「AI越發展，鏡頭的規格越不需要，這等於會吃到我們的未來。」為了不被AI消滅，大立光決定用累積多年的技術跨入CPO領域。
而大立光切入CPO的獨門絕活，正是解決業界目前最頭痛的──高精度光纖陣列嚴重缺貨問題。林恩平指出，資料傳輸要求精度必須小於0.3微米，但傳統製程就算用上最完美的V型槽（V-groove）配上最完美的導光纖維（Fiber），累進公差依然會大於1微米，導致業界拼命修整、丟棄廢料，根本無法量產。
「我們的做法完全不同，我們是用不完美的V型槽，配上不完美的Fiber來做完美的。」林恩平自豪地說，大立光內部測試已能穩定做出精度在0.3微米以下的超高精度光纖陣列產品，遠優於目前業界最強對手的0.5至0.8微米。這項技術已申請專利（IP），成為大立光最強的技術護城河。
此外，《財訊》採訪得知，相較於日商住友（Sumitomo）等競爭對手採用玻璃穿孔或加「上蓋」的兩排堆疊方式，大立光在台北電腦展（Computex）上直接展示──四層堆疊、無上蓋技術，利用「最密堆積」將間隙肉厚縮減到極致。「越多層往上堆疊，我們的優勢會越明顯」，林恩平說道。
回到大立光的手機鏡頭本業，面對下半年傳統旺季，林恩平透露今年客戶的排程與往年截然不同。
過去大客戶通常會在第四季前將新機發布完畢，但今年大客戶的新機種，有部分會延到明年第一季才發表。這導致「今年7月感覺沒有以前那麼忙」，不過整體訂單預估量與去年同期差不多，需求只是往後延。林恩平預期，今年的營收負荷將罕見地向第四季壓縮，呈現非典型的逐季走高走勢，下半年毛利率則仍需視拉貨比重與良率而定。
（本文由財訊授權轉載）"
3081.TWO,磷化銦管制衝擊 AI 供應鏈！美急尋替代來源，中國本土 InP 基板廠趁勢擴產崛起,https://technews.tw/2026/06/12/china-indium-phosphide-exports/,2026-06-12 10:14:00,"根據路透社報導，隨著中國管制磷化銦（InP）出口，恐衝擊AI資料中心建設進度。近期美國總統川普率領商業代表團前往中國，Coherent執行長Jim Anderson亦在參訪團中，意味著磷化銦等材料已成為北京手中的重要貿易武器。
報導引述三位知情人士的話指出，Anderson此行部分目的是向中方反映磷化銦出口許可審批延遲的問題。
中國自2025年2月便對磷化銦實施出口限制，過去業界與企業高層多次警告，這項限制措施可能干擾全球AI資料中心的建設進程。除了磷化銦外，中國亦對多項稀土材料祭出出口限制，並對全球汽車、半導體及航空供應鏈造成衝擊。
顧問公司Albright Stonebridge Group合夥人Paul Triolo表示，北京在打造更精細化的「材料瓶頸」（materials chokepoint）。與其直接禁止光子產品出口，中國更可能透過放慢或附加條件的方式管制上游化合物、基板材料與金屬的出口，這些正是決定光模組生態系能否快速擴產、滿足超大型雲端服務供應商需求的關鍵因素。
根據美國地質調查局（USGS）數據，截至2024年，中國仍是全球最大的銦（Indium）生產國，占全球總產量約70%。
「磷化銦出口許可是目前面臨最重大的挑戰」，全球第二大磷化銦基板供應商、Coherent主要供應商之一AXT指出，公司大部分磷化銦基板產能位於中國，其中國子公司直到去年6月才取得首批出口許可證，目前仍累積大量待交訂單。
SemiAnalysis分析師Konrad Wang認為，中國的出口管制影響並不僅限於AXT或Coherent，而是已經波及整個光通訊供應鏈。即便Lumentum已將產能擴大四倍，目前訂單仍一路滿到2028年。
同時，台灣的全新光電和聯亞光電也因AXT出口許可延誤，面臨磷化銦基板供應中斷問題。
自中國開始對磷化銦實施出口管制以來，6吋磷化銦晶圓平均價格已暴漲約250%，從原本水準上升至每片5,000美元。知情人士透露，至少兩家美國大型光子晶片製造商已向產業組織尋求協助，希望加快出口許可取得流程。
另一方面，美國光通訊業者也積極尋找替代方案，包括自行生產磷化銦基板，以及向住友電工（Sumitomo）等日本供應商採購，但新增產能的速度有限，因為新工廠從建設到投產通常需要兩至三年時間。
Coherent於5月表示，計畫在德州廠擴建磷化銦晶圓產能，今年將產能提升一倍，預期2027年底前再次將產能擴大超過一倍；聯亞光電則於4月與住友電工簽署長期磷化銦供應合約，以降低供應風險。
住友電工回應，截至目前，中國的磷化銦出口管制尚未對其生產造成影響。據悉，住友電工生產的大部分磷化銦基板都優先供應自家內部需求，流向外部市場的供應量有限，全球市場仍處於供不應求狀態。
目前全球磷化銦基板市場高度集中，AXT與住友電工兩家公司合計占全球近80%產能，日本JX金屬（JX Advanced Metals Corporation）則約占10%。
報導指出，中國磷化銦出口限制，也為本土磷化銦基板製造商創造機會。目前中國主要廠商包括雲南鍺業、廣東先導（Guangdong Xiandao）以及珠海鼎泰芯源（Zhuhai Dingtai Xinyuan）。
許多中國廠商正迅速擴充產能，如雲南鍺業今年4月宣布投資1.89億人民幣（約2,800萬美元），將磷化銦基板年產能擴增至45萬片單晶基板。根據其2025年年報，磷化銦晶圓出貨量年增74%；廣東先導今年也透過子公司廣東先瑞啟動新投資案，預計每年生產40噸磷化銦晶體，這是製造基板所需的關鍵原料。
中國磷化銦製造商透露，雲南鍺業與廣東先導目前正與中國官方協商出口審批事宜，但即使獲准，對海外市場的供貨量預計也將受到限制。兩間公司短期內仍將以中國國內市場為主，目前沒跡象顯示中國政府會特別偏袒本土企業，而排擠像AXT這類希望從中國出口磷化銦基板的企業。
值得注意的是，由於導入新供應商需要漫長的認證與驗證流程，國際大客戶短期內不太可能輕易轉換供應來源。目前Coherent主要由AXT供應、Lumentum由住友電工與JX Advanced Metals供應。
（首圖來源：shutterstock）"
3008.TW,股價已反映利多、CPO 兩年內難見貢獻！小摩下調大立光評級至中立,https://technews.tw/2026/06/11/jp-morgan-see-largan-cpo/,2026-06-11 12:19:00,"大立光近日股價表現強勢，過去一個月股價大漲50%。美系外資認為大立光股價已經大致反映受惠iPhone鏡頭升級、iPhone需求強勁的成長潛力，且市場對CPO發展過度樂觀，下調大立光評級至中立，目標價3,600元。
摩根大通（小摩）表示，長期看好大立光CPO布局，但考量到市場競爭激烈，大立光如何轉換為實際獲利仍有諸多不確定性。此外，其FAU（Fiber Array Unit，光纖陣列單元）產品與現行晶片設計生態系並不相容，至少在未來一至兩年內，仍看不到明顯獲利貢獻，應等待更具體進展。
大立光董事長林恩平先前在股東會上表示，預期9月邀請潛在客戶參觀工廠並展示相關產品，小摩認為，這意味尚未有客戶與大立光簽署正式合約或合作備忘錄（MOU）。此外，大立光在COMPUTEX所展出的FAU產品，其設計架構目前與主流晶片設計生態系不相容，若客戶採用，IC設計公司可能必須修改、調整甚至重新開發晶片架構來配合。小摩認為，即便客戶有意願合作，FAU業務從開發到量產貢獻獲利，將需要相當長的時間。
不過，大立光將受惠於下一代iPhone鏡頭升級，隨著iPhone 18 Pro與Pro Max導入可變光圈（Variable Aperture）相機，可望成為新機的重要賣點之一。
小摩預期，大立光在主鏡頭的供貨價值（包括鏡頭與光圈葉片等元件）將較iPhone 17 Pro系列有顯著提升。至於摺疊iPhone助益則相對有限，因為該機種預計不會搭載潛望式鏡頭（Periscope Camera），後置鏡頭仍有鏡頭凸起設計，對精密度要求相對較低。
（首圖來源：科技新報）"
