ticker,code,name,market,found
2330.TW,2330,台積電,上市,True
2454.TW,2454,聯發科,上市,True
3711.TW,3711,日月光投控,上市,True
2303.TW,2303,聯電,上市,True
2408.TW,2408,南亞科,上市,True
2344.TW,2344,華邦電,上市,True
5274.TWO,5274,信驊,上櫃,True
3443.TW,3443,創意,上市,True
6223.TWO,6223,旺矽,上櫃,True
8299.TWO,8299,群聯,上櫃,True
6488.TWO,6488,環球晶,上櫃,True
6515.TW,6515,穎崴,上市,True
3661.TW,3661,世芯-KY,上市,True
3189.TW,3189,景碩,上市,True
6770.TW,6770,力積電,上市,True
2449.TW,2449,京元電子,上市,True
2379.TW,2379,瑞昱,上市,True
2337.TW,2337,旺宏,上市,True
3034.TW,3034,聯詠,上市,True
6239.TW,6239,力成,上市,True
3105.TWO,3105,穩懋,上櫃,True
6415.TW,6415,矽力-KY,上市,True
2308.TW,2308,台達電,上市,True
2327.TW,2327,國巨,上市,True
2383.TW,2383,台光電,上市,True
3037.TW,3037,欣興,上市,True
2368.TW,2368,金像電,上市,True
2059.TW,2059,川湖,上市,True
4958.TW,4958,臻鼎-KY,上市,True
3653.TW,3653,健策,上市,True
8046.TW,8046,南電,上市,True
6274.TWO,6274,台燿,上櫃,True
2313.TW,2313,華通,上市,True
3044.TW,3044,健鼎,上市,True
3533.TW,3533,嘉澤,上市,True
2492.TW,2492,華新科,上市,True
2382.TW,2382,廣達,上市,True
3017.TW,3017,奇鋐,上市,True
6669.TW,6669,緯穎,上市,True
2357.TW,2357,華碩,上市,True
3231.TW,3231,緯創,上市,True
2301.TW,2301,光寶科,上市,True
2395.TW,2395,研華,上市,True
2356.TW,2356,英業達,上市,True
2376.TW,2376,技嘉,上市,True
4938.TW,4938,和碩,上市,True
2317.TW,2317,鴻海,上市,True
2360.TW,2360,致茂,上市,True
3665.TW,3665,貿聯-KY,上市,True
2404.TW,2404,漢唐,上市,True
6139.TW,6139,亞翔,上市,True
3008.TW,3008,大立光,上市,True
3481.TW,3481,群創,上市,True
8069.TWO,8069,元太,上櫃,True
2345.TW,2345,智邦,上市,True
3081.TWO,3081,聯亞,上櫃,True
3036.TW,3036,文曄,上市,True
